key,model,horizon,origin,target,n_train,actual,predicted,error
google,drift,3,2023-07,2023-10,6,-1.3973441973064755,-0.9527169666423314,-0.4446272306641441
google,ses,3,2023-07,2023-10,6,-1.3973441973064755,-1.1500891575909407,-0.24725503971553486
google,holt_damped,3,2023-07,2023-10,6,-1.3973441973064755,-1.141020954238742,-0.2563232430677336
google,loglinear,3,2023-07,2023-10,6,-1.3973441973064755,-1.0752081347298517,-0.32213606257662386
google,ar1,3,2023-07,2023-10,6,-1.3973441973064755,-1.137338589504342,-0.26000560780213355
google,naive,3,2023-08,2023-11,7,-1.9993988340062996,-1.4307461236907244,-0.5686527103155752
google,mean,3,2023-08,2023-11,7,-1.9993988340062996,-1.1792477805409471,-0.8201510534653524
google,drift,3,2023-08,2023-11,7,-1.9993988340062996,-1.465770333991324,-0.5336285000149756
google,ses,3,2023-08,2023-11,7,-1.9993988340062996,-1.245329737879887,-0.7540690961264125
google,holt_damped,3,2023-08,2023-11,7,-1.9993988340062996,-1.231169898913128,-0.7682289350931717
google,loglinear,3,2023-08,2023-11,7,-1.9993988340062996,-1.296679890958303,-0.7027189430479965
google,ar1,3,2023-08,2023-11,7,-1.9993988340062996,-1.1790313712379676,-0.820367462768332
google,naive,3,2023-09,2023-12,8,-1.4545623322488934,-1.4434527749598391,-0.011109557289054273
google,mean,3,2023-09,2023-12,8,-1.4545623322488934,-1.2122734048433086,-0.24228892740558483
google,drift,3,2023-09,2023-12,8,-1.4545623322488934,-1.4788639531987817,0.024301620949888303
google,ses,3,2023-09,2023-12,8,-1.4545623322488934,-1.392294311028078,-0.06226802122081532
google,holt_damped,3,2023-09,2023-12,8,-1.4545623322488934,-1.4108572076295838,-0.04370512461930964
google,loglinear,3,2023-09,2023-12,8,-1.4545623322488934,-1.4280062595198035,-0.026556072729089886
google,ar1,3,2023-09,2023-12,8,-1.4545623322488934,-1.2147812183816322,-0.2397811138672612
meta,naive,1,2023-06,2023-07,5,-1.2809338454620642,-1.3350010667323402,0.05406722127027597
meta,mean,1,2023-06,2023-07,5,-1.2809338454620642,-1.556616933567457,0.27568308810539266
meta,drift,1,2023-06,2023-07,5,-1.2809338454620642,-1.1886287281842132,-0.09230511727785107
meta,ses,1,2023-06,2023-07,5,-1.2809338454620642,-1.3216719733776503,0.040738127915586064
meta,holt_damped,1,2023-06,2023-07,5,-1.2809338454620642,-1.2759575934849505,-0.00497625197711371
meta,loglinear,1,2023-06,2023-07,5,-1.2809338454620642,-0.9308921739468481,-0.35004167151521615
meta,ar1,1,2023-06,2023-07,5,-1.2809338454620642,-1.4525052344640745,0.1715713890020103
meta,naive,1,2023-07,2023-08,6,-1.1073459686368643,-1.2809338454620642,0.17358787682519994
meta,mean,1,2023-07,2023-08,6,-1.1073459686368643,-1.5106697522165582,0.4033237835796939
meta,drift,1,2023-07,2023-08,6,-1.1073459686368643,-1.1499456931269123,0.04259972449004801
meta,ses,1,2023-07,2023-08,6,-1.1073459686368643,-1.2829707518578435,0.17562478322097919
meta,holt_damped,1,2023-07,2023-08,6,-1.1073459686368643,-1.25871348428781,0.15136751565094575
meta,loglinear,1,2023-07,2023-08,6,-1.1073459686368643,-0.9403775941671775,-0.16696837446968682
meta,ar1,1,2023-07,2023-08,6,-1.1073459686368643,-1.4005506776520842,0.2932047090152199
meta,naive,1,2023-08,2023-09,7,-1.1411719030869056,-1.1073459686368643,-0.03382593445004134
