company,skill,skill_category,postings_with_skill,n_skilled,share,rest_with_skill,rest_n_skilled,rest_share,diff,diff_ci_low,diff_ci_high,log_lift,p_value,supported,q_value,significant,vendor_relation,self_referential
microsoft,Deep Learning,ML / AI,0,504,0.0,8,2459,0.0033,-0.0033,-0.0064,0.0045,-1.803,0.19975975255347972,False,0.3132,False,,False
microsoft,Machine Learning,ML / AI,11,504,0.0218,204,2459,0.083,-0.0611,-0.0762,-0.0414,-1.868,1.43743996412971e-06,True,1e-05,True,,False
microsoft,Matplotlib,Data Science Libraries,2,504,0.004,44,2459,0.0179,-0.0139,-0.0206,-0.0026,-1.87,0.021242855591512393,True,0.0509,False,,False
microsoft,Snowflake,Cloud Platform,20,504,0.0397,473,2459,0.1924,-0.1527,-0.1739,-0.127,-2.245,5.118596971807654e-17,True,0.0,True,,False
microsoft,Bash,OS / Shell,1,504,0.002,36,2459,0.0146,-0.0127,-0.0185,-0.0026,-2.321,0.019760288922960667,True,0.04826,True,,False
microsoft,GitLab,DevOps / Infrastructure,0,504,0.0,13,2459,0.0053,-0.0053,-0.009,0.0026,-2.471,0.10185598796963188,True,0.17248,False,,False
microsoft,OpenStack,Cloud Platform,0,504,0.0,13,2459,0.0053,-0.0053,-0.009,0.0026,-2.471,0.10185598796963188,True,0.17248,False,,False
microsoft,Chef,DevOps / Infrastructure,0,504,0.0,15,2459,0.0061,-0.0061,-0.01,0.0018,-2.67,0.07877172207429992,True,0.14931,False,,False
microsoft,Puppet,DevOps / Infrastructure,0,504,0.0,15,2459,0.0061,-0.0061,-0.01,0.0018,-2.67,0.07877172207429992,True,0.14931,False,,False
microsoft,Seaborn,Data Science Libraries,0,504,0.0,17,2459,0.0069,-0.0069,-0.011,0.0011,-2.845,0.06120417367519261,True,0.11958,False,,False
microsoft,Generative AI,ML / AI,0,504,0.0,17,2459,0.0069,-0.0069,-0.011,0.0011,-2.845,0.06120417367519261,True,0.11958,False,,False
microsoft,PHP,Programming Language,1,504,0.002,61,2459,0.0248,-0.0228,-0.0299,-0.0122,-3.073,0.001109995556732679,True,0.00361,True,,False
microsoft,Ansible,DevOps / Infrastructure,0,504,0.0,21,2459,0.0085,-0.0085,-0.013,-0.0004,-3.142,0.03733834602100193,True,0.07648,False,,False
microsoft,Google Sheets,Analytics / BI,0,504,0.0,24,2459,0.0098,-0.0098,-0.0145,-0.0015,-3.33,0.025951578356483488,True,0.05885,False,,False
microsoft,VMware,Cloud Platform,0,504,0.0,31,2459,0.0126,-0.0126,-0.0178,-0.0042,-3.693,0.01127798425227286,True,0.02819,True,,False
microsoft,ggplot2,Data Science Libraries,0,504,0.0,35,2459,0.0142,-0.0142,-0.0197,-0.0057,-3.865,0.007053091425526947,True,0.01866,True,,False
microsoft,SPSS,Analytics / BI,0,504,0.0,39,2459,0.0159,-0.0159,-0.0216,-0.0072,-4.019,0.004426258081550783,True,0.01244,True,,False
microsoft,dplyr,Data Science Libraries,0,504,0.0,43,2459,0.0175,-0.0175,-0.0235,-0.0087,-4.159,0.002785159492307915,True,0.00842,True,,False
microsoft,BigQuery,Cloud Platform,0,504,0.0,96,2459,0.039,-0.039,-0.0474,-0.0288,-5.308,6.499583504696368e-06,True,3e-05,True,,False
microsoft,Looker,Analytics / BI,0,504,0.0,118,2459,0.048,-0.048,-0.0572,-0.0371,-5.604,5.198959087421399e-07,True,0.0,True,,False
